Month,Day,Year,Alameda Hall,Charney Hall,Heafy Hall,Campisi,Dunne,Graham,San Filipo,Date
1,5,2021,2.649181903,6.950119615,15.81827331,8.109233856,8.619937182,8.015520215,1.563534647,1/5/2021
1,5,2021,2.787742019,7.169739962,16.23356104,8.114450216,9.033646822,8.37465024,1.553790539,1/5/2021
1,5,2021,2.795604289,6.905157685,16.0188694,8.102666378,9.013605357,8.376282931,1.561825871,1/5/2021
1,5,2021,2.781300009,6.613604069,14.34664941,7.746305585,8.847056389,8.079428434,1.523912102,1/5/2021
1,5,2021,2.771553755,7.414942861,15.50164962,7.720266819,9.003060818,7.963502645,1.623893291,1/5/2021
1,5,2021,2.790752053,8.560359955,14.72323275,7.531321168,9.00971961,7.804500342,1.539364279,1/5/2021
1,5,2021,2.791165769,8.292140842,14.13743329,7.652893305,10.27898192,7.96456337,1.308322638,1/5/2021
1,5,2021,2.785328269,8.154414892,15.34826994,7.561155319,10.57605004,8.036019087,1.334870488,1/5/2021
1,5,2021,2.736308575,8.414841056,14.04271436,7.543294192,10.51534081,7.886631608,1.741833895,1/5/2021
1,5,2021,2.474730909,7.288174391,13.86431241,7.735978127,11.28689981,7.869902134,1.682305902,1/5/2021
1,5,2021,2.313114107,7.278957248,16.03209281,7.575684667,10.40726566,7.960316897,1.849366188,1/5/2021
1,5,2021,2.352673352,6.790102243,14.31168222,7.541837693,10.59363151,7.990724087,1.761478394,1/5/2021
1,5,2021,2.455105603,6.872383833,15.87344837,7.975571513,8.518866539,9.192014456,1.691924244,1/5/2021
1,5,2021,2.476450265,7.156341195,15.95612502,8.090817451,8.431624174,9.159316778,1.734484106,1/5/2021
1,5,2021,2.310377419,7.270681024,17.22702694,8.160642862,8.526533127,9.067539692,1.73284483,1/5/2021
1,5,2021,2.132756412,7.136144996,15.65775275,8.218018294,8.488625288,9.056763649,1.569746196,1/5/2021
1,5,2021,2.463984728,7.163799882,13.9457674,8.081573248,8.616569042,9.079708338,1.592632205,1/5/2021
1,5,2021,2.677673638,7.098208547,11.64514256,8.055011749,8.57862711,9.101770401,1.577666819,1/5/2021
1,5,2021,2.630521178,7.065165997,11.4245615,8.092868805,8.607290983,9.083162308,1.573141813,1/5/2021
1,6,2021,2.553368032,6.997982264,11.34109259,8.058797836,8.514508963,8.901730061,1.519237101,1/6/2021
1,6,2021,2.534682751,6.818676829,11.38404536,8.058134794,8.650402069,7.861213208,1.713994205,1/6/2021
1,6,2021,2.531882465,6.929832578,11.32559013,8.080793858,8.536969185,7.746095419,1.591498882,1/6/2021
1,6,2021,2.543331742,6.921274781,11.77166367,8.069835186,8.539045334,7.683352709,1.572433323,1/6/2021
1,6,2021,2.62247318,7.318523645,12.26863837,8.057922125,8.518414974,7.721502185,1.557530492,1/6/2021
1,6,2021,2.647523046,7.04011488,17.60857797,8.079598427,8.477752209,7.911764622,1.567609847,1/6/2021
1,6,2021,2.782984376,7.007561684,16.15513516,8.101865768,8.425442457,8.215484858,1.561833352,1/6/2021
1,6,2021,2.791050434,6.929787278,16.12814999,8.080393315,8.479799032,8.267078638,1.561559558,1/6/2021
1,6,2021,2.79745096,6.711292148,14.43626905,7.636445404,8.502068758,7.946157098,1.534021557,1/6/2021
1,6,2021,2.763782561,6.895511866,15.27863884,7.597435594,8.508524895,7.909452319,1.530728996,1/6/2021
1,6,2021,2.799962759,8.133654118,15.17627955,7.768561602,8.706090451,7.86397469,1.577320337,1/6/2021
1,6,2021,2.775407255,7.690789819,15.79537392,7.563944936,8.963202238,9.271103619,1.549870342,1/6/2021
1,6,2021,2.779889762,7.909237146,14.98924994,7.707286716,8.877222061,8.747285604,1.582728744,1/6/2021
1,6,2021,2.773316741,7.103342891,15.72501087,7.616153121,10.54947853,7.892188668,1.538503021,1/6/2021
1,6,2021,2.757223964,7.735212326,16.09880185,7.742209316,10.24354815,8.012299776,1.527471155,1/6/2021
1,6,2021,2.746972263,7.082735181,15.43641997,7.533537149,10.24520135,8.077754736,1.525869549,1/6/2021
1,6,2021,2.731519342,6.653799534,15.44250727,7.519922376,11.03732228,8.229610205,1.630063385,1/6/2021
1,6,2021,2.694642246,6.848443627,16.84505391,7.938025832,10.00370932,9.267697573,1.693361342,1/6/2021
1,6,2021,2.616292775,7.273139,15.96047092,7.971265674,9.195152998,9.172860146,1.656257153,1/6/2021
1,6,2021,2.591399074,7.117883206,15.97538519,7.956229329,8.581134319,9.216386795,1.570165545,1/6/2021
1,6,2021,2.567695916,7.378788352,15.83755326,7.970128894,8.487855911,9.247988701,1.572664648,1/6/2021
1,6,2021,2.702160418,7.36791873,13.70348478,7.962186098,8.512271643,9.215708494,1.575476915,1/6/2021
1,6,2021,2.7102682,7.105201602,11.41718101,7.959692121,8.550995827,9.217479944,1.639451176,1/6/2021
1,6,2021,2.634446144,6.964201093,11.29178429,7.96074903,8.564492703,9.263525009,1.845383853,1/6/2021
1,7,2021,2.546411038,6.879597902,11.25222326,7.973307252,8.525067568,8.818044186,1.748272002,1/7/2021
1,7,2021,2.531473398,6.814439535,11.17364049,7.945334077,8.551743507,7.806551695,1.560399532,1/7/2021
1,7,2021,2.544755578,6.837924242,11.13958144,8.078943253,8.492419481,7.645291806,1.565019697,1/7/2021
1,7,2021,2.547732413,7.07656157,11.61894965,8.093616009,8.571860552,7.652494669,1.56974575,1/7/2021
1,7,2021,2.640898347,7.000627756,12.17330575,7.917242169,8.53448081,7.695702791,1.599215418,1/7/2021
1,7,2021,2.647949398,7.106707215,16.93987632,7.941736937,8.518894434,7.903201461,1.550891668,1/7/2021
1,7,2021,2.798367024,7.20845449,15.94194651,7.944037795,8.538976908,8.191406012,1.563073039,1/7/2021
1,7,2021,2.816217244,7.003552914,15.97353625,7.923779011,8.600705624,8.188781738,1.553534508,1/7/2021
1,7,2021,2.78990376,6.545726299,14.29610395,7.937977434,8.538455487,8.011544824,1.542183638,1/7/2021
1,7,2021,2.840563238,6.960527778,14.25561834,7.509214878,8.388478041,7.908654928,1.579132647,1/7/2021
1,7,2021,2.757926881,8.426030159,16.12125802,7.46049428,8.217417717,7.757163406,1.668446779,1/7/2021
1,7,2021,2.769388139,9.282045841,13.93946529,7.497110009,8.336099148,7.767940044,1.463939667,1/7/2021
1,7,2021,2.766339839,8.540941715,13.58057427,7.426803708,9.042680502,7.790139794,1.30523175,1/7/2021
1,7,2021,2.787067235,8.049908638,13.58295393,7.471890211,11.37329578,7.813496232,1.461865902,1/7/2021
1,7,2021,2.629761696,7.399660349,15.92107272,7.442809463,10.02765966,7.745645523,1.513457358,1/7/2021
1,7,2021,2.414503694,7.578576565,15.62190437,7.441266298,11.03722382,7.897676587,1.624306381,1/7/2021
1,7,2021,2.218204796,6.98815906,14.18693495,7.425834656,9.908549548,7.969442844,1.746286601,1/7/2021
1,7,2021,2.219926119,7.156867623,17.29750061,7.788150788,9.777966976,9.111388683,1.619847715,1/7/2021
1,7,2021,2.107441425,7.15034008,15.73530889,7.992913604,10.61149669,9.220054627,1.695453763,1/7/2021
1,7,2021,2.053085864,7.540227294,15.7893436,7.968812823,8.3353858,9.228055954,1.700717151,1/7/2021
1,7,2021,1.962069482,7.177903414,15.46946287,7.971605301,8.370842457,9.285016775,1.75264439,1/7/2021
1,7,2021,2.171839982,7.148284197,13.34924579,7.974016667,8.299761772,9.192632437,1.72012341,1/7/2021
1,7,2021,2.607851863,7.107857704,11.28572392,7.962910176,8.389054537,9.206656218,1.717954904,1/7/2021
1,7,2021,2.617915333,7.000455737,11.26014233,7.968250394,8.330818177,9.125593901,1.702275634,1/7/2021
1,8,2021,2.558317006,6.870295882,11.2193737,7.974493742,8.330837965,8.806935072,1.714826852,1/8/2021
1,8,2021,2.524643123,6.856996536,11.17007947,7.937666535,8.357144118,7.811187983,1.609773785,1/8/2021
1,8,2021,2.52794224,6.851982236,11.16378665,7.960101843,8.351719618,7.626280546,1.572709918,1/8/2021
1,8,2021,2.542643428,6.91309309,11.65561009,7.970757127,8.347329378,7.663864136,1.557874799,1/8/2021
1,8,2021,2.623787105,6.950027108,12.21735001,7.960532069,8.326253414,7.653291822,1.572894067,1/8/2021
1,8,2021,2.645378947,6.892824173,15.69176698,7.982088208,8.379766464,7.885112644,1.566491723,1/8/2021
1,8,2021,2.781920671,6.975291371,16.04111051,7.979454637,8.326798916,8.132901669,1.555740893,1/8/2021
1,8,2021,2.806803942,7.140597463,16.05795908,7.951522708,8.307922125,8.264555454,1.556713671,1/8/2021
1,8,2021,2.786547184,7.171893358,15.00882435,7.466042995,8.292825699,7.933055282,1.528244078,1/8/2021
1,8,2021,2.786282897,6.942934156,16.21558166,7.422620774,8.480951548,7.838081479,1.530203045,1/8/2021
1,8,2021,2.874269664,6.923892022,15.75471878,7.428434253,9.698803425,8.380497575,1.662886471,1/8/2021
1,8,2021,2.851305246,7.708839059,14.75717402,7.509541631,9.970120668,7.761059046,1.538425893,1/8/2021
1,8,2021,2.837449372,7.45319891,16.25850439,7.480435371,10.0530386,7.797990084,1.675037861,1/8/2021
1,8,2021,2.660818577,7.094811797,15.54926062,7.520694733,11.01813054,7.743507862,1.66233486,1/8/2021
