,total_hourly_usage
806,61.863882602000004
807,61.223613403
808,64.293214035
809,67.5438571
810,66.889751313
811,64.43110317
812,67.80086670499999
813,65.72564601799999
814,69.17961696
815,66.36906406099999
816,70.16861862100001
817,68.31077874399999
818,65.839029919
819,65.623702442
820,66.72028996
821,57.219320311000004
822,49.861729506
823,46.982929286
824,46.643514161
825,46.914381924000004
826,46.984267152
827,54.325229203
828,61.922746778
829,61.586932543
830,60.82458853399999
831,64.378942283
832,66.545681241
833,64.343197769
834,61.961090389
835,63.490198684
836,61.419088348
837,64.562406694
838,62.39150720199999
839,62.359508197000004
840,67.25047857099999
841,65.155280094
842,65.441638501
843,63.45719871400001
844,61.672811726
845,54.640032585
846,48.115581214
847,46.107742225
848,45.95967438300001
849,46.738330567999995
850,46.775396078
851,53.918374931
852,63.636530015
853,60.215825775000006
854,62.761056605
855,60.398113675999994
856,61.529902664
857,62.00825160299999
858,63.718911177
859,65.545996737
860,61.72687156500001
861,62.469122806
862,65.069959346
863,62.172236321
864,62.962864937
865,62.391276357
866,62.360879401999995
867,64.64310276399999
868,61.685370865
869,54.072278440999995
870,48.603550429
871,46.633917307000004
872,45.383021056
873,45.985281622
874,46.17615354
875,53.655581204
876,61.561235761999995
877,60.218146438000005
878,58.053732645
879,59.559280990000005
880,59.192364077
881,62.181899349
882,61.149881633999996
883,59.007852250999996
884,62.108615672
885,59.113966258000005
886,59.869712045
887,60.947323598000004
888,63.83517727400001
889,63.953147022
890,61.838271143
891,62.386694491
892,63.63517525299999
893,56.2626794
894,47.236320049
895,45.798442402
896,45.608494578
897,45.794573819
898,46.324119002
899,53.714751451999994
900,62.012393806999995
901,60.423818196000006
902,60.419070963
903,58.049581054
904,63.745933712
905,61.045095795
906,61.382977511
907,60.164801266999994
908,61.136132004
909,64.279416612
910,65.551121984
911,68.171082406
912,65.925819996
913,64.555377491
914,63.661176598000004
915,65.825984463
916,61.40610677
917,53.714815885
918,48.264566673
919,46.067683755000004
920,45.535541980000005
921,45.95517531
922,46.328565238
923,53.860765159
924,62.63200905800001
925,59.52948320999999
926,60.860664485
927,64.779860091
928,64.145246549
929,65.86073956300001
930,64.518784472
931,63.962471698
932,65.573573528
933,63.873150585
934,70.39651489799999
935,65.73621149499999
936,66.229293016
937,66.662540562
938,67.572443005
939,66.34664899
940,63.172190517000004
941,53.365663497999996
942,47.28015742
943,45.581838163
944,45.284661052000004
945,45.917796681
946,46.14054361
947,53.21053821499999
948,61.997835101999996
949,59.37478426100001
950,60.22431079399999
951,61.200979644
952,62.505002389000005
953,62.745261343
954,61.447847941
955,63.980659195
956,63.671136882
957,64.251973694
958,61.870676968
959,61.449617745
960,63.196776514999996
961,65.51594784299999
962,63.955495879
963,63.64010502
964,63.67274806500001
965,53.897175903
966,47.390849591
967,45.347792987000005
968,44.765023059
969,44.863724353
970,45.179649922
971,49.212032910000005
972,58.641901695
973,58.66881338100001
974,56.888081825
975,59.537010057
976,61.215106758999994
977,60.494701949
978,61.27572724
979,62.892095274999996
980,61.303904637
981,66.160750123
982,64.926021071
983,62.600284395
984,63.425311711
985,63.715626396000005
986,64.646990608
987,63.520666988
988,61.565448485999994
989,56.703383509
990,47.682934741000004
991,45.235668928
992,44.813483088999995
993,45.131488241
994,45.68686914
995,49.29338571699999
996,60.65096170100001
997,60.24448648400001
998,58.358424398000004
999,58.70173401500001
1000,61.413729368999995
1001,64.048686874
1002,62.347510107
1003,61.542540469
1004,64.24960315499999
1005,61.411762381
1006,63.116847347
1007,63.228753861
1008,61.363723489
1009,63.872648214
1010,63.544719125
1011,62.757132649
1012,62.723928601
1013,55.765483112999995
1014,46.486614352000004
1015,45.505524342
1016,45.56090113900001
1017,44.94923115
1018,45.685666323
1019,49.328020301
1020,60.806742792
1021,59.441845930999996
1022,57.57708664
1023,59.97175955600001
1024,61.802586627
1025,64.84989707499999
1026,60.180806072
1027,62.404205149999996
1028,64.420914695
1029,61.89621324100001
1030,65.080004537
1031,65.79689060999999
1032,62.352807008
1033,63.314786498000004
1034,63.16581828
1035,63.77963592
1036,62.131245443
1037,57.0184072
1038,47.536001242000005
1039,45.94137350700001
1040,44.472512815
1041,44.58201902799999
1042,44.927895989
1043,49.14002835000001
1044,58.27870291399999
1045,57.393499194
1046,57.185416461
1047,56.727072303
1048,58.096493576
1049,60.380002925
1050,58.984172654
1051,61.71707969799999
1052,58.872286504
1053,59.278861232000004
