Wind Speed (m/s),Wind Direction (°),ActivePower (kW)
11.63259029,198.2677002,3272.665039
11.44476032,195.6320038,3209.698975
11.27190018,196.6611023,3134.518066
11.05900955,196.5158997,2977.824951
12.10377979,198.2570038,3431.772949
12.92813969,201.5825958,3604.209961
13.31941986,201.9421997,3601.327881
13.12152004,203.5077972,3604.426025
13.23544979,202.6929932,3604.391113
13.23589993,202.9362946,3604.337891
13.02956009,201.2539063,3554.687988
12.96393967,201.3408966,3479.407959
12.90295029,200.9795074,3472.333008
12.76634026,200.9960022,3491.510986
12.89834976,200.5142059,3536.989014
12.74211025,202.8952942,3528.658936
12.31826019,202.841095,3581.540039
12.41880989,202.4118042,3570.079102
12.54298973,201.6253052,3597.604004
12.67599964,199.3220978,3441.025879
13.00304985,197.1307068,3373.969971
13.29767036,196.4936066,3369.812988
12.84405994,195.3150024,3375.903076
12.70538998,196.0422058,3377.649902
12.1833601,197.7438965,3374.423096
12.20514011,196.8088074,3401.081055
12.60188007,193.8157043,3469.412109
12.84455013,194.3466034,3511.809082
12.49705982,196.009201,3536.759033
12.09607029,197.9526978,3467.808105
12.19612026,201.330307,3460.677002
12.55035019,201.1882019,3589.443115
12.6156702,202.6235962,3527.718994
13.10278034,201.7666016,3561.26709
13.68774986,199.0195007,3604.068115
14.10241985,196.2552032,3604.176025
14.39330959,195.8798981,3593.200928
14.07954979,197.6403046,3493.821045
14.05440044,197.2447968,3470.701904
13.51247025,195.9954071,3436.610107
13.71004963,192.4197998,3401.455078
13.7423296,191.0137024,3395.23291
13.14186001,192.2046967,3417.503906
12.86771011,192.771698,3465.108887
12.84727001,192.4705048,3467.417969
12.73211002,192.5679016,3522.406982
12.51620007,194.9992065,3510.10791
12.59866047,196.0422974,3513.844971
13.23031998,196.4087982,3564.008057
13.0946703,198.5249939,3475.278076
12.91687965,198.0101013,3561.990967
12.63354969,197.6634979,3521.554932
12.82567024,201.1040955,3493.60791
12.54162025,200.3634033,3555.304932
12.10496998,196.9826965,3377.12793
12.36250019,199.798996,3479.626953
12.60391045,201.2702942,3539.112061
12.21222019,198.9846039,3430.436035
11.98762035,202.5711975,3301.917969
11.67932987,200.7035065,3235.543945
12.46971989,197.8733978,3519.022949
12.49489975,201.1011047,3469.537109
11.78983021,200.3565979,3296.186035
10.90355015,199.4629059,3045.51001
12.18807983,202.7460022,3444.741943
11.97813034,199.4022064,3417.746094
10.67446995,197.2297058,2807.613037
9.69664669,200.3191986,2493.393066
11.41759014,200.488205,3215.196045
12.68927002,199.5281067,3589.590088
13.05860043,200.6078033,3599.149902
11.52081966,195.8547058,3375.177002
11.51231003,197.7467041,3346.980957
12.41629982,199.1638031,3567.967041
12.16014957,198.3968964,3519.264893
11.67107964,194.6569977,3485.191895
11.14585972,195.8325043,3145.562988
10.77289963,193.1703949,2978.310059
10.92975998,195.0997009,3179.008057
12.14006042,198.2947998,3461.581055
11.19556046,200.7570038,3082.549072
12.94869041,204.0805969,3493.657959
14.87942982,197.5942993,3601.045898
15.12405968,196.3455963,3597.564941
16.29367065,196.8367004,3602.172119
16.12397957,192.2306061,3601.99292
15.27460003,190.949295,3600.791016
13.56672001,192.9456024,3590.75
15.36779976,194.7528076,3601.845947
15.86174965,195.0402985,3601.870117
14.92051029,197.9895935,3591.655029
13.60853004,201.4945068,3579.024902
14.46385956,200.4884033,3598.131104
12.68828964,202.2259979,3525.333008
13.55690002,202.153595,3560.699951
13.32281017,203.2893982,3537.676025
12.60700989,201.0937042,3491.291016
12.31476021,197.5440979,3530.766113
10.3801899,200.9197998,2915.839111
9.11702919,201.0245056,2178.658936
9.253190994,198.9759979,2244.412109
9.072306633,198.2364044,1278.89502
10.34463024,196.6472015,2832.934082
11.10330963,200.1464996,3205.9729
11.06910992,198.8968048,3149.284912
11.32581043,201.1446075,3273.656006
11.01513958,204.9272003,3114.099121
10.90725994,204.813797,3111.060059
11.76941013,209.778595,3361.011963
11.87483025,209.6006012,3421.419922
12.16926003,208.3181,3520.148926
12.82061958,211.1817932,3589.427002
12.57161999,209.4647064,3495.115967
11.39929962,205.625,3298.761963
10.54543018,200.6107025,2894.440918
12.30932999,202.0561981,3486.628906
12.1683197,203.7207031,3455.24707
12.28707981,204.6085968,3556.785889
12.01319027,201.7415009,3375.582031
12.21352959,201.7156067,3493.979004
12.93774033,199.9685059,3549.147949
13.66942024,203.870697,3483.315918
13.69785976,204.8023071,3589.858887
12.75835991,202.6508026,3584.235107
12.76517963,201.2570953,3599.008057
13.07721996,203.4407043,3602.637939
12.59340954,205.1535034,3550.563965
12.51366997,205.008194,3552.782959
12.53439999,204.1203003,3585.010986
11.96442986,201.9989014,3421.176025
11.94577026,194.3786926,3406.040039
12.20707989,189.5238037,3515.610107
12.2751503,190.5794983,3515.965088
12.72264004,187.6125031,3475.418945
12.26537037,189.4371948,3471.156982
11.70368958,192.2619019,3281.754883
10.96352959,190.4571991,2955.11499
11.29796982,192.8582001,3061.735107
10.66594982,194.0843964,2679.110107
10.8332901,195.2017975,2721.081055
10.57837009,195.3432007,2649.136963
10.38854027,201.797699,2707.74292
10.08041954,204.2073975,2508.832031
9.838738441,199.747406,2316.647949
11.43999958,200.2402954,3081.542969
11.94402981,201.1663971,3397.638916
11.85929012,201.7106018,3391.716064
12.81147957,201.3484955,3587.510986
12.91353989,201.6768951,3603.112061
12.72832012,202.4132996,3591.093018
11.66357994,202.6618958,3221.044922
11.0952301,204.061203,2887.733887
10.16094971,203.3379059,2364.534912
9.202415466,197.8013,1935.847046
8.539284706,195.5061035,1549.480957
8.809141159,187.4846039,1625.755981
9.608460426,188.0238953,1994.222046
9.844923973,190.6604004,2362
9.338670731,196.7335968,2097.771973
8.424916267,197.0158997,1564.590942
7.656233788,188.6903992,1107.474976
8.144581795,181.6596069,1303.116943
8.54713726,173.5366974,1561.182007
8.381804466,171.3834076,1544.999023
7.850449085,179.8197937,1456.738037
8.656551361,188.2382965,1795.644043
10.92311954,179.039093,2773.291016
10.4051199,176.9255981,2782.568115
9.498130798,174.677002,2446.424072
11.93025017,180.6725006,3412.39209
11.07629013,183.8755035,3255.337891
10.45788002,192.1911011,2796.876953
9.791149139,197.104599,2467.954102
7.626486778,202.940506,1278.886963
7.287635803,207.3871002,1042.537964
6.228209019,216.9989014,609.0761719
4.47162199,222.5090942,175.4407043
4.127829075,215.4514008,112.1109009
5.032844067,202.5102997,271.9171143
6.267045021,211.2003021,737.4487915
7.763337135,193.6107025,1375.579956
8.21955204,172.135498,1520.890015
7.974888802,168.3569031,1349.112061
6.794364929,171.1295013,889.1298218
5.536108017,162.7037964,412.115509
5.491714954,150.2816925,444.6036072
6.076754093,149.6408997,655.7307129
6.69093895,152.2225037,882.5654297
6.848011971,157.1643066,998.3845825
7.759384155,152.699707,1193.395996
7.417626858,152.076004,1122.712036
7.472226143,154.7837982,1214.125977
7.080772877,160.2183075,1086.307007
7.053721905,165.8153992,1060.603027
7.766314983,170.8444977,1451.713989
7.833246231,173.0240936,1361.459961
7.959300995,173.9763947,1490.569946
7.283742905,176.7931976,1153.139038
7.001252174,178.0930023,953.9760132
6.758135796,174.0330048,799.0856934
6.179992199,167.9960022,616.2548218
6.301719189,168.8119965,646.9244995
7.517776966,184.7017975,1323.682007
8.094202995,194.0092926,1568.885986
7.854953766,197.8014984,1580.902954
7.719468117,191.2086945,1495.180054
8.847901344,195.0639038,2063.868896
9.631019592,198.074707,2368.76001
9.767664909,191.838501,2516.419922
9.185004234,190.0070038,2108.770996
9.927650452,179.3226929,2568.111084
12.03275967,175.9355011,3445.219971
10.87308979,180.7583008,2994.106934
10.38061047,177.4212036,2594.937012
10.34302044,164.6313934,2326.825928
9.283791542,157.3659973,1941.463989
8.263951302,151.1777039,1581.487061
7.161077023,144.4230042,1013.286987
5.502151966,145.3318024,375.6176147
4.645584106,155.7653046,198.1511993
3.847867012,162.271698,87.44045258
4.553710938,148.0536041,189.1378021
5.735952854,136.6712036,434.4317932
5.057969093,139.4640045,336.5007935
4.922440052,141.7938995,296.6101074
3.821350098,148.5747986,92.9240036
3.580841064,165.8957062,85.70230103
4.716145039,187.6051941,309.5114136
5.080855846,188.4362946,381.1726074
5.343267918,202.2389984,417.2662964
5.452712059,201.0330963,446.343811
